Repeticao,Parcela,Velocidade(KM/h),DS(cm),Classificação
2,37,1.08,11.35,Aceitável
2,38,1.08,7.34,Aceitável
2,39,1.08,5.78,Aceitável
2,40,1.08,6.44,Aceitável
2,41,1.08,10.22,Aceitável
2,42,1.08,4.50,Aceitável
2,43,1.08,9.99,Aceitável
2,44,1.08,8.37,Aceitável
2,45,1.08,3.90,Duplo
2,46,1.08,6.55,Aceitável
2,47,1.08,5.53,Aceitável
2,48,1.08,2.84,Duplo
2,49,1.08,8.22,Aceitável
2,50,1.08,7.42,Aceitável
2,51,1.08,10.51,Aceitável
2,52,1.08,9.22,Aceitável
2,53,1.08,3.15,Duplo
2,54,1.08,7.05,Aceitável
2,55,1.08,6.29,Aceitável
2,56,1.08,2.17,Duplo
2,57,1.08,6.67,Aceitável
2,58,1.08,6.62,Aceitável
2,59,1.08,4.34,Duplo
2,60,1.08,5.72,Aceitável
2,61,1.08,5.99,Aceitável
2,62,1.08,2.49,Duplo
2,63,1.08,4.95,Aceitável
2,64,1.08,3.44,Duplo
2,65,1.08,7.26,Aceitável
2,66,1.08,4.45,Duplo
2,67,1.08,5.39,Aceitável
2,68,1.08,13.04,Aceitável
2,69,1.08,6.14,Aceitável
2,70,1.08,7.32,Aceitável
2,71,1.08,7.19,Aceitável
2,72,1.08,13.37,Aceitável
2,73,1.08,3.46,Duplo
2,74,1.08,13.93,Nulo
2,75,1.08,6.95,Aceitável
2,76,1.08,13.13,Aceitável
2,77,1.08,13.73,Nulo
2,78,1.08,4.56,Aceitável
2,79,1.08,4.69,Aceitável
2,80,1.08,3.04,Duplo
2,81,1.08,3.70,Duplo
2,82,1.08,5.58,Aceitável
2,83,1.08,6.09,Aceitável
2,84,1.08,2.65,Duplo
2,85,1.08,9.20,Aceitável
2,86,1.08,3.10,Duplo
2,87,1.08,5.06,Aceitável
2,88,1.08,9.02,Aceitável
2,89,1.08,7.45,Aceitável
2,90,1.08,4.99,Aceitável
2,91,1.08,4.78,Aceitável
2,92,1.08,4.54,Aceitável
2,93,1.08,2.88,Duplo
2,94,1.08,5.60,Aceitável
2,95,1.08,7.12,Aceitável
2,96,1.08,9.05,Aceitável
2,97,1.08,1.77,Duplo
2,98,1.08,3.58,Duplo
2,99,1.08,7.12,Aceitável
2,100,1.08,8.12,Aceitável
2,101,1.08,1.56,Duplo
2,102,1.08,1.93,Duplo
2,103,1.08,9.80,Aceitável
2,104,1.08,1.88,Duplo
2,105,1.08,4.47,Duplo
2,106,1.08,4.18,Duplo
2,107,1.08,3.60,Duplo
2,108,1.08,2.62,Duplo
2,109,1.08,4.23,Duplo
2,110,1.08,7.91,Aceitável
2,111,1.08,7.04,Aceitável
2,112,1.08,6.71,Aceitável
2,113,1.08,3.41,Duplo
2,114,1.08,6.52,Aceitável
2,115,1.08,9.65,Aceitável
2,116,1.08,5.56,Aceitável
2,117,1.08,4.67,Aceitável
2,118,1.08,7.30,Aceitável
2,119,1.08,9.84,Aceitável
2,120,1.08,4.17,Duplo
3,1,1.08,6.36,Aceitável
3,2,1.08,10.73,Aceitável
3,3,1.08,4.67,Aceitável
3,4,1.08,2.13,Duplo
3,5,1.08,9.68,Aceitável
3,6,1.08,6.62,Aceitável
3,7,1.08,5.89,Aceitável
3,8,1.08,11.20,Aceitável
3,9,1.08,4.12,Duplo
3,10,1.08,5.42,Aceitável
3,11,1.08,6.82,Aceitável
3,12,1.08,8.26,Aceitável
3,13,1.08,5.43,Aceitável
3,14,1.08,9.57,Aceitável
3,15,1.08,9.04,Aceitável
3,16,1.08,2.35,Duplo
3,17,1.08,8.81,Aceitável
3,18,1.08,3.22,Duplo
3,19,1.08,1.75,Duplo
3,20,1.08,3.81,Duplo
3,21,1.08,1.67,Duplo
3,22,1.08,2.14,Duplo
3,23,1.08,4.63,Aceitável
3,24,1.08,9.07,Aceitável
3,25,1.08,3.14,Duplo
3,26,1.08,8.37,Aceitável
3,27,1.08,10.18,Aceitável
3,28,1.08,5.72,Aceitável
3,29,1.08,6.25,Aceitável
3,30,1.08,2.21,Duplo
3,31,1.08,9.91,Aceitável
3,32,1.08,8.53,Aceitável
3,33,1.08,9.01,Aceitável
3,34,1.08,7.41,Aceitável
3,35,1.08,8.05,Aceitável
3,36,1.08,11.35,Aceitável
3,37,1.08,8.22,Aceitável
3,38,1.08,4.32,Duplo
