Repeticao,Parcela,Velocidade(KM/h),DS(cm),Classificação
3,61,3.2,13.97,Nulo
3,62,3.2,4.45,Duplo
3,63,3.2,3.14,Duplo
3,64,3.2,6.09,Aceitável
3,65,3.2,4.15,Duplo
3,66,3.2,7.28,Aceitável
3,67,3.2,8.62,Aceitável
3,68,3.2,9.67,Aceitável
3,69,3.2,5.70,Aceitável
3,70,3.2,7.09,Aceitável
3,71,3.2,11.29,Aceitável
3,72,3.2,8.94,Aceitável
3,73,3.2,5.04,Aceitável
3,74,3.2,12.51,Aceitável
3,75,3.2,9.21,Aceitável
3,76,3.2,9.08,Aceitável
3,77,3.2,5.20,Aceitável
3,78,3.2,7.31,Aceitável
3,79,3.2,13.94,Nulo
3,80,3.2,9.41,Aceitável
3,81,3.2,12.41,Aceitável
3,82,3.2,7.96,Aceitável
3,83,3.2,11.36,Aceitável
3,84,3.2,13.51,Nulo
3,85,3.2,7.03,Aceitável
3,86,3.2,11.69,Aceitável
3,87,3.2,11.45,Aceitável
3,88,3.2,14.38,Nulo
3,89,3.2,10.25,Aceitável
3,90,3.2,13.84,Nulo
3,91,3.2,6.77,Aceitável
3,92,3.2,13.55,Nulo
3,93,3.2,12.97,Aceitável
3,94,3.2,7.76,Aceitável
3,95,3.2,5.91,Aceitável
3,96,3.2,11.90,Aceitável
3,97,3.2,12.76,Aceitável
3,98,3.2,6.97,Aceitável
3,99,3.2,11.14,Aceitável
3,100,3.2,14.15,Nulo
3,101,3.2,11.21,Aceitável
3,102,3.2,9.87,Aceitável
3,103,3.2,12.59,Aceitável
3,104,3.2,12.07,Aceitável
3,105,3.2,7.61,Aceitável
3,106,3.2,14.03,Nulo
3,107,3.2,13.27,Aceitável
3,108,3.2,11.97,Aceitável
3,109,3.2,7.52,Aceitável
3,110,3.2,5.58,Aceitável
3,111,3.2,14.49,Nulo
3,112,3.2,14.05,Nulo
3,113,3.2,5.06,Aceitável
3,114,3.2,8.14,Aceitável
3,115,3.2,13.74,Nulo
3,116,3.2,13.72,Nulo
3,117,3.2,4.90,Aceitável
3,118,3.2,9.19,Aceitável
3,119,3.2,4.69,Aceitável
3,120,3.2,10.02,Aceitável
4,1,3.2,12.98,Aceitável
4,2,3.2,4.95,Aceitável
4,3,3.2,6.92,Aceitável
4,4,3.2,13.20,Aceitável
4,5,3.2,2.61,Duplo
4,6,3.2,4.11,Duplo
4,7,3.2,13.94,Nulo
4,8,3.2,3.69,Duplo
4,9,3.2,8.33,Aceitável
4,10,3.2,10.75,Aceitável
4,11,3.2,8.51,Aceitável
4,12,3.2,8.30,Aceitável
4,13,3.2,12.25,Aceitável
4,14,3.2,7.89,Aceitável
4,15,3.2,3.42,Duplo
4,16,3.2,12.09,Aceitável
4,17,3.2,13.17,Aceitável
4,18,3.2,10.25,Aceitável
4,19,3.2,4.49,Duplo
4,20,3.2,8.56,Aceitável
4,21,3.2,8.97,Aceitável
4,22,3.2,12.08,Aceitável
4,23,3.2,9.75,Aceitável
4,24,3.2,5.40,Aceitável
4,25,3.2,7.41,Aceitável
4,26,3.2,13.39,Aceitável
4,27,3.2,4.45,Duplo
4,28,3.2,10.59,Aceitável
4,29,3.2,14.00,Nulo
4,30,3.2,7.01,Aceitável
4,31,3.2,11.21,Aceitável
4,32,3.2,4.98,Aceitável
4,33,3.2,8.32,Aceitável
4,34,3.2,4.67,Aceitável
4,35,3.2,11.01,Aceitável
4,36,3.2,13.79,Nulo
4,37,3.2,13.57,Nulo
4,38,3.2,8.60,Aceitável
4,39,3.2,4.33,Duplo
4,40,3.2,9.58,Aceitável
4,41,3.2,11.40,Aceitável
4,42,3.2,11.00,Aceitável
4,43,3.2,11.91,Aceitável
4,44,3.2,3.30,Duplo
4,45,3.2,11.23,Aceitável
4,46,3.2,13.55,Nulo
4,47,3.2,8.09,Aceitável
4,48,3.2,10.21,Aceitável
4,49,3.2,5.05,Aceitável
4,50,3.2,5.55,Aceitável
4,51,3.2,5.96,Aceitável
4,52,3.2,5.68,Aceitável
4,53,3.2,12.65,Aceitável
4,54,3.2,8.69,Aceitável
4,55,3.2,11.15,Aceitável
4,56,3.2,12.99,Aceitável
4,57,3.2,3.94,Duplo
4,58,3.2,7.20,Aceitável
4,59,3.2,5.03,Aceitável
4,60,3.2,11.87,Aceitável
4,61,3.2,11.17,Aceitável
4,62,3.2,11.97,Aceitável
4,63,3.2,6.79,Aceitável
4,64,3.2,5.43,Aceitável
4,65,3.2,13.31,Aceitável
4,66,3.2,2.70,Duplo
4,67,3.2,14.43,Nulo
4,68,3.2,11.47,Aceitável
4,69,3.2,11.76,Aceitável
4,70,3.2,3.88,Duplo
4,71,3.2,8.90,Aceitável
4,72,3.2,8.64,Aceitável
4,73,3.2,2.55,Duplo
4,74,3.2,8.19,Aceitável
4,75,3.2,7.91,Aceitável
4,76,3.2,6.69,Aceitável
4,77,3.2,6.03,Aceitável
4,78,3.2,7.97,Aceitável
4,79,3.2,10.22,Aceitável
4,80,3.2,11.47,Aceitável
4,81,3.2,11.49,Aceitável
4,82,3.2,13.78,Nulo
4,83,3.2,14.16,Nulo
4,84,3.2,4.55,Aceitável
4,85,3.2,6.32,Aceitável
4,86,3.2,13.00,Aceitável
4,87,3.2,11.57,Aceitável
4,88,3.2,10.47,Aceitável
4,89,3.2,4.37,Duplo
4,90,3.2,11.60,Aceitável
4,91,3.2,10.19,Aceitável
4,92,3.2,2.65,Duplo
4,93,3.2,14.13,Nulo
4,94,3.2,10.54,Aceitável
4,95,3.2,13.83,Nulo
4,96,3.2,6.52,Aceitável
4,97,3.2,5.24,Aceitável
4,98,3.2,12.20,Aceitável
4,99,3.2,3.59,Duplo
4,100,3.2,8.36,Aceitável
4,101,3.2,13.90,Nulo
4,102,3.2,13.31,Aceitável
4,103,3.2,6.66,Aceitável
4,104,3.2,12.11,Aceitável
4,105,3.2,3.82,Duplo
4,106,3.2,11.65,Aceitável
4,107,3.2,5.15,Aceitável
4,108,3.2,13.01,Aceitável
4,109,3.2,12.73,Aceitável
4,110,3.2,3.94,Duplo
4,111,3.2,4.47,Duplo
4,112,3.2,4.93,Aceitável
4,113,3.2,11.18,Aceitável
4,114,3.2,11.18,Aceitável
4,115,3.2,8.63,Aceitável
4,116,3.2,2.71,Duplo
4,117,3.2,11.86,Aceitável
4,118,3.2,3.37,Duplo
4,119,3.2,13.14,Aceitável
4,120,3.2,9.86,Aceitável
1,1,4.8,4.92,Aceitável
1,2,4.8,7.89,Aceitável
1,3,4.8,13.09,Aceitável
1,4,4.8,9.63,Aceitável
1,5,4.8,16.59,Nulo
1,6,4.8,16.10,Nulo
1,7,4.8,8.56,Aceitável
1,8,4.8,8.32,Aceitável
1,9,4.8,7.14,Aceitável
1,10,4.8,12.93,Aceitável
1,11,4.8,14.93,Nulo
1,12,4.8,6.98,Aceitável
1,13,4.8,8.18,Aceitável
1,14,4.8,16.61,Nulo
1,15,4.8,6.19,Aceitável
1,16,4.8,15.66,Nulo
1,17,4.8,5.28,Aceitável
1,18,4.8,9.25,Aceitável
1,19,4.8,7.32,Aceitável
1,20,4.8,17.35,Nulo
1,21,4.8,7.32,Aceitável
1,22,4.8,9.64,Aceitável
1,23,4.8,15.67,Nulo
1,24,4.8,17.37,Nulo
1,25,4.8,5.10,Aceitável
1,26,4.8,6.05,Aceitável
1,27,4.8,4.02,Duplo
1,28,4.8,17.13,Nulo
1,29,4.8,16.41,Nulo
1,30,4.8,8.82,Aceitável
1,31,4.8,10.07,Aceitável
1,32,4.8,16.30,Nulo
1,33,4.8,8.82,Aceitável
1,34,4.8,5.86,Aceitável
1,35,4.8,7.76,Aceitável
1,36,4.8,15.34,Nulo
1,37,4.8,14.49,Nulo
1,38,4.8,16.15,Nulo
1,39,4.8,6.98,Aceitável
1,40,4.8,12.07,Aceitável
1,41,4.8,17.67,Nulo
1,42,4.8,6.22,Aceitável
1,43,4.8,8.12,Aceitável
1,44,4.8,15.30,Nulo
1,45,4.8,11.21,Aceitável
1,46,4.8,9.02,Aceitável
1,47,4.8,13.68,Nulo
1,48,4.8,10.37,Aceitável
1,49,4.8,13.89,Nulo
1,50,4.8,8.19,Aceitável
1,51,4.8,17.27,Nulo
1,52,4.8,8.11,Aceitável
1,53,4.8,5.25,Aceitável
1,54,4.8,4.42,Duplo
1,55,4.8,9.68,Aceitável
1,56,4.8,8.42,Aceitável
1,57,4.8,15.06,Nulo
1,58,4.8,16.73,Nulo
1,59,4.8,14.33,Nulo
1,60,4.8,17.37,Nulo
1,61,4.8,12.42,Aceitável
1,62,4.8,16.79,Nulo
1,63,4.8,10.78,Aceitável
1,64,4.8,12.05,Aceitável
1,65,4.8,3.93,Duplo
1,66,4.8,15.34,Nulo
1,67,4.8,13.76,Nulo
1,68,4.8,15.00,Nulo
1,69,4.8,4.85,Aceitável
1,70,4.8,8.84,Aceitável
1,71,4.8,7.68,Aceitável
1,72,4.8,15.40,Nulo
1,73,4.8,3.70,Duplo
1,74,4.8,11.89,Aceitável
1,75,4.8,6.37,Aceitável
1,76,4.8,9.20,Aceitável
1,77,4.8,7.97,Aceitável
1,78,4.8,8.80,Aceitável
1,79,4.8,8.87,Aceitável
1,80,4.8,12.35,Aceitável
1,81,4.8,11.40,Aceitável
1,82,4.8,9.66,Aceitável
1,83,4.8,14.49,Nulo
1,84,4.8,12.13,Aceitável
1,85,4.8,4.45,Duplo
1,86,4.8,11.49,Aceitável
1,87,4.8,7.41,Aceitável
1,88,4.8,7.99,Aceitável
1,89,4.8,12.41,Aceitável
1,90,4.8,13.91,Nulo
1,91,4.8,5.46,Aceitável
1,92,4.8,15.11,Nulo
1,93,4.8,7.78,Aceitável
1,94,4.8,4.56,Aceitável
1,95,4.8,7.00,Aceitável
1,96,4.8,6.42,Aceitável
1,97,4.8,16.27,Nulo
1,98,4.8,16.65,Nulo
1,99,4.8,3.93,Duplo
1,100,4.8,14.62,Nulo
1,101,4.8,14.66,Nulo
1,102,4.8,12.88,Aceitável
1,103,4.8,16.37,Nulo
1,104,4.8,3.97,Duplo
1,105,4.8,11.74,Aceitável
1,106,4.8,5.92,Aceitável
1,107,4.8,10.14,Aceitável
1,108,4.8,12.20,Aceitável
1,109,4.8,4.83,Aceitável
1,110,4.8,5.70,Aceitável
1,111,4.8,6.11,Aceitável
1,112,4.8,7.74,Aceitável
1,113,4.8,10.47,Aceitável
1,114,4.8,8.36,Aceitável
1,115,4.8,4.66,Aceitável
1,116,4.8,13.55,Nulo
1,117,4.8,12.73,Aceitável
1,118,4.8,14.72,Nulo
1,119,4.8,13.19,Aceitável
1,120,4.8,5.73,Aceitável
2,1,4.8,5.03,Aceitável
2,2,4.8,13.06,Aceitável
2,3,4.8,12.31,Aceitável
2,4,4.8,12.61,Aceitável
2,5,4.8,17.67,Nulo
2,6,4.8,11.48,Aceitável
2,7,4.8,14.18,Nulo
2,8,4.8,8.77,Aceitável
2,9,4.8,9.89,Aceitável
2,10,4.8,4.54,Aceitável
2,11,4.8,16.99,Nulo
2,12,4.8,8.43,Aceitável
2,13,4.8,5.31,Aceitável
2,14,4.8,16.27,Nulo
2,15,4.8,16.57,Nulo
2,16,4.8,4.68,Aceitável
2,17,4.8,15.57,Nulo
2,18,4.8,10.97,Aceitável
2,19,4.8,14.09,Nulo
2,20,4.8,6.27,Aceitável
2,21,4.8,4.73,Aceitável
2,22,4.8,17.10,Nulo
2,23,4.8,12.48,Aceitável
2,24,4.8,6.04,Aceitável
2,25,4.8,5.23,Aceitável
2,26,4.8,12.83,Aceitável
2,27,4.8,11.68,Aceitável
2,28,4.8,16.14,Nulo
2,29,4.8,16.12,Nulo
2,30,4.8,13.65,Nulo
2,31,4.8,12.10,Aceitável
2,32,4.8,6.07,Aceitável
2,33,4.8,7.62,Aceitável
2,34,4.8,15.16,Nulo
2,35,4.8,10.17,Aceitável
2,36,4.8,15.16,Nulo
2,37,4.8,12.99,Aceitável
2,38,4.8,3.75,Duplo
2,39,4.8,17.13,Nulo
2,40,4.8,10.83,Aceitável
2,41,4.8,7.07,Aceitável
2,42,4.8,13.29,Aceitável
2,43,4.8,17.27,Nulo
2,44,4.8,12.36,Aceitável
2,45,4.8,10.76,Aceitável
2,46,4.8,17.09,Nulo
2,47,4.8,16.57,Nulo
2,48,4.8,16.95,Nulo
2,49,4.8,17.39,Nulo
2,50,4.8,12.13,Aceitável
2,51,4.8,11.05,Aceitável
2,52,4.8,6.38,Aceitável
2,53,4.8,17.51,Nulo
2,54,4.8,6.55,Aceitável
2,55,4.8,12.60,Aceitável
2,56,4.8,12.90,Aceitável
2,57,4.8,5.56,Aceitável
2,58,4.8,4.72,Aceitável
2,59,4.8,11.73,Aceitável
2,60,4.8,16.12,Nulo
2,61,4.8,14.03,Nulo
2,62,4.8,17.40,Nulo
2,63,4.8,14.69,Nulo
2,64,4.8,16.56,Nulo
2,65,4.8,14.70,Nulo
2,66,4.8,11.86,Aceitável
2,67,4.8,12.82,Aceitável
2,68,4.8,11.43,Aceitável
2,69,4.8,9.55,Aceitável
2,70,4.8,5.01,Aceitável
2,71,4.8,5.23,Aceitável
2,72,4.8,6.66,Aceitável
2,73,4.8,13.79,Nulo
2,74,4.8,7.97,Aceitável
2,75,4.8,9.59,Aceitável
2,76,4.8,5.48,Aceitável
2,77,4.8,15.74,Nulo
2,78,4.8,4.32,Duplo
2,79,4.8,17.02,Nulo
2,80,4.8,16.48,Nulo
2,81,4.8,10.62,Aceitável
2,82,4.8,16.48,Nulo
2,83,4.8,15.69,Nulo
2,84,4.8,15.56,Nulo
2,85,4.8,10.46,Aceitável
2,86,4.8,10.54,Aceitável
2,87,4.8,16.78,Nulo
2,88,4.8,14.92,Nulo
2,89,4.8,14.37,Nulo
2,90,4.8,15.70,Nulo
2,91,4.8,6.82,Aceitável
2,92,4.8,7.49,Aceitável
2,93,4.8,16.08,Nulo
2,94,4.8,5.30,Aceitável
2,95,4.8,16.50,Nulo
2,96,4.8,15.03,Nulo
2,97,4.8,13.69,Nulo
2,98,4.8,10.34,Aceitável
2,99,4.8,17.35,Nulo
2,100,4.8,5.85,Aceitável
2,101,4.8,9.65,Aceitável
2,102,4.8,8.02,Aceitável
2,103,4.8,12.04,Aceitável
2,104,4.8,12.75,Aceitável
2,105,4.8,10.70,Aceitável
2,106,4.8,13.38,Aceitável
2,107,4.8,16.16,Nulo
2,108,4.8,6.13,Aceitável
2,109,4.8,14.90,Nulo
2,110,4.8,10.16,Aceitável
2,111,4.8,3.65,Duplo
2,112,4.8,8.08,Aceitável
2,113,4.8,15.41,Nulo
2,114,4.8,8.78,Aceitável
2,115,4.8,6.06,Aceitável
2,116,4.8,14.07,Nulo
2,117,4.8,11.72,Aceitável
2,118,4.8,11.17,Aceitável
2,119,4.8,16.42,Nulo
2,120,4.8,11.67,Aceitável
3,1,4.8,6.00,Aceitável
3,2,4.8,17.60,Nulo
3,3,4.8,17.35,Nulo
3,4,4.8,6.86,Aceitável
3,5,4.8,17.82,Nulo
3,6,4.8,8.59,Aceitável
3,7,4.8,4.98,Aceitável
3,8,4.8,5.62,Aceitável
3,9,4.8,15.88,Nulo
3,10,4.8,4.23,Duplo
3,11,4.8,4.19,Duplo
3,12,4.8,13.22,Aceitável
3,13,4.8,11.28,Aceitável
3,14,4.8,15.34,Nulo
3,15,4.8,4.81,Aceitável
3,16,4.8,5.99,Aceitável
3,17,4.8,7.73,Aceitável
3,18,4.8,15.05,Nulo
3,19,4.8,7.84,Aceitável
3,20,4.8,13.17,Aceitável
3,21,4.8,16.76,Nulo
3,22,4.8,17.14,Nulo
3,23,4.8,5.00,Aceitável
3,24,4.8,9.48,Aceitável
3,25,4.8,6.79,Aceitável
3,26,4.8,7.11,Aceitável
3,27,4.8,7.21,Aceitável
3,28,4.8,8.92,Aceitável
3,29,4.8,16.21,Nulo
3,30,4.8,5.81,Aceitável
3,31,4.8,16.85,Nulo
3,32,4.8,6.21,Aceitável
3,33,4.8,14.50,Nulo
3,34,4.8,5.93,Aceitável
3,35,4.8,7.06,Aceitável
3,36,4.8,10.37,Aceitável
3,37,4.8,9.57,Aceitável
3,38,4.8,10.49,Aceitável
3,39,4.8,9.39,Aceitável
3,40,4.8,13.90,Nulo
3,41,4.8,11.72,Aceitável
3,42,4.8,17.77,Nulo
3,43,4.8,13.72,Nulo
3,44,4.8,9.01,Aceitável
3,45,4.8,7.67,Aceitável
3,46,4.8,9.13,Aceitável
3,47,4.8,7.63,Aceitável
3,48,4.8,10.04,Aceitável
3,49,4.8,6.22,Aceitável
3,50,4.8,12.16,Aceitável
3,51,4.8,12.47,Aceitável
3,52,4.8,16.52,Nulo
3,53,4.8,11.70,Aceitável
3,54,4.8,14.12,Nulo
3,55,4.8,17.87,Nulo
3,56,4.8,17.33,Nulo
3,57,4.8,6.46,Aceitável
3,58,4.8,14.58,Nulo
3,59,4.8,8.93,Aceitável
3,60,4.8,11.85,Aceitável
3,61,4.8,9.83,Aceitável
3,62,4.8,16.39,Nulo
3,63,4.8,13.12,Aceitável
3,64,4.8,6.76,Aceitável
3,65,4.8,15.49,Nulo
3,66,4.8,7.72,Aceitável
3,67,4.8,5.67,Aceitável
3,68,4.8,10.12,Aceitável
3,69,4.8,16.85,Nulo
3,70,4.8,7.67,Aceitável
3,71,4.8,10.08,Aceitável
3,72,4.8,11.24,Aceitável
3,73,4.8,4.51,Aceitável
3,74,4.8,10.57,Aceitável
3,75,4.8,13.05,Aceitável
3,76,4.8,12.03,Aceitável
3,77,4.8,17.39,Nulo
3,78,4.8,13.93,Nulo
3,79,4.8,5.15,Aceitável
3,80,4.8,7.12,Aceitável
3,81,4.8,7.01,Aceitável
3,82,4.8,11.72,Aceitável
3,83,4.8,12.13,Aceitável
3,84,4.8,6.75,Aceitável
3,85,4.8,12.82,Aceitável
3,86,4.8,6.32,Aceitável
3,87,4.8,8.53,Aceitável
3,88,4.8,14.99,Nulo
3,89,4.8,7.36,Aceitável
3,90,4.8,15.92,Nulo
3,91,4.8,14.43,Nulo
3,92,4.8,9.49,Aceitável
3,93,4.8,5.26,Aceitável
3,94,4.8,14.33,Nulo
3,95,4.8,17.98,Nulo
3,96,4.8,10.98,Aceitável
3,97,4.8,10.64,Aceitável
3,98,4.8,9.37,Aceitável
3,99,4.8,9.38,Aceitável
3,100,4.8,17.03,Nulo
3,101,4.8,6.16,Aceitável
3,102,4.8,4.61,Aceitável
3,103,4.8,13.77,Nulo
3,104,4.8,15.63,Nulo
3,105,4.8,13.74,Nulo
3,106,4.8,13.89,Nulo
3,107,4.8,15.96,Nulo
3,108,4.8,7.20,Aceitável
3,109,4.8,15.26,Nulo
3,110,4.8,13.37,Aceitável
3,111,4.8,12.60,Aceitável
3,112,4.8,6.59,Aceitável
3,113,4.8,6.61,Aceitável
3,114,4.8,11.39,Aceitável
3,115,4.8,17.50,Nulo
3,116,4.8,7.50,Aceitável
3,117,4.8,10.26,Aceitável
3,118,4.8,6.01,Aceitável
3,119,4.8,8.20,Aceitável
3,120,4.8,9.21,Aceitável
4,1,4.8,11.88,Aceitável
4,2,4.8,14.95,Nulo
4,3,4.8,5.25,Aceitável
4,4,4.8,12.81,Aceitável
4,5,4.8,6.93,Aceitável
4,6,4.8,4.82,Aceitável
4,7,4.8,5.74,Aceitável
4,8,4.8,12.94,Aceitável
4,9,4.8,8.01,Aceitável
4,10,4.8,12.71,Aceitável
4,11,4.8,6.78,Aceitável
4,12,4.8,13.07,Aceitável
4,13,4.8,5.61,Aceitável
4,14,4.8,14.30,Nulo
4,15,4.8,6.19,Aceitável
4,16,4.8,5.69,Aceitável
4,17,4.8,17.82,Nulo
4,18,4.8,4.80,Aceitável
4,19,4.8,12.04,Aceitável
4,20,4.8,14.25,Nulo
4,21,4.8,10.88,Aceitável
4,22,4.8,15.79,Nulo
4,23,4.8,17.33,Nulo
4,24,4.8,16.11,Nulo
4,25,4.8,5.01,Aceitável
4,26,4.8,6.52,Aceitável
4,27,4.8,4.20,Duplo
4,28,4.8,17.09,Nulo
4,29,4.8,4.67,Aceitável
4,30,4.8,13.92,Nulo
4,31,4.8,7.03,Aceitável
4,32,4.8,8.99,Aceitável
4,33,4.8,7.19,Aceitável
4,34,4.8,10.28,Aceitável
4,35,4.8,5.35,Aceitável
4,36,4.8,5.59,Aceitável
4,37,4.8,16.00,Nulo
4,38,4.8,13.26,Aceitável
4,39,4.8,17.76,Nulo
4,40,4.8,7.83,Aceitável
4,41,4.8,5.31,Aceitável
4,42,4.8,12.89,Aceitável
4,43,4.8,14.31,Nulo
4,44,4.8,16.11,Nulo
4,45,4.8,10.70,Aceitável
4,46,4.8,8.79,Aceitável
4,47,4.8,8.21,Aceitável
4,48,4.8,4.73,Aceitável
4,49,4.8,9.26,Aceitável
4,50,4.8,6.98,Aceitável
4,51,4.8,11.80,Aceitável
4,52,4.8,12.31,Aceitável
4,53,4.8,13.64,Nulo
4,54,4.8,8.93,Aceitável
4,55,4.8,11.49,Aceitável
4,56,4.8,3.81,Duplo
4,57,4.8,7.88,Aceitável
4,58,4.8,17.46,Nulo
4,59,4.8,4.70,Aceitável
4,60,4.8,12.93,Aceitável
4,61,4.8,16.14,Nulo
4,62,4.8,10.68,Aceitável
4,63,4.8,12.58,Aceitável
4,64,4.8,16.15,Nulo
4,65,4.8,7.77,Aceitável
4,66,4.8,3.90,Duplo
4,67,4.8,16.99,Nulo
4,68,4.8,11.42,Aceitável
4,69,4.8,14.73,Nulo
4,70,4.8,14.30,Nulo
4,71,4.8,5.41,Aceitável
4,72,4.8,14.30,Nulo
4,73,4.8,7.92,Aceitável
4,74,4.8,4.14,Duplo
4,75,4.8,16.23,Nulo
4,76,4.8,10.89,Aceitável
4,77,4.8,17.52,Nulo
4,78,4.8,14.79,Nulo
4,79,4.8,7.99,Aceitável
4,80,4.8,4.34,Duplo
4,81,4.8,15.06,Nulo
4,82,4.8,4.41,Duplo
4,83,4.8,13.38,Aceitável
4,84,4.8,11.64,Aceitável
4,85,4.8,4.23,Duplo
4,86,4.8,10.03,Aceitável
4,87,4.8,10.82,Aceitável
4,88,4.8,14.33,Nulo
4,89,4.8,12.03,Aceitável
4,90,4.8,3.58,Duplo
4,91,4.8,10.57,Aceitável
4,92,4.8,6.62,Aceitável
4,93,4.8,17.40,Nulo
4,94,4.8,9.79,Aceitável
4,95,4.8,16.62,Nulo
4,96,4.8,9.52,Aceitável
4,97,4.8,11.57,Aceitável
4,98,4.8,11.22,Aceitável
4,99,4.8,11.18,Aceitável
4,100,4.8,15.32,Nulo
4,101,4.8,9.71,Aceitável
4,102,4.8,9.49,Aceitável
4,103,4.8,9.66,Aceitável
4,104,4.8,5.35,Aceitável
4,105,4.8,13.13,Aceitável
4,106,4.8,11.33,Aceitável
4,107,4.8,15.56,Nulo
4,108,4.8,7.81,Aceitável
4,109,4.8,11.96,Aceitável
4,110,4.8,17.11,Nulo
4,111,4.8,9.52,Aceitável
4,112,4.8,11.56,Aceitável
4,113,4.8,15.39,Nulo
4,114,4.8,12.87,Aceitável
4,115,4.8,5.50,Aceitável
4,116,4.8,4.28,Duplo
4,117,4.8,16.25,Nulo
4,118,4.8,13.14,Aceitável
4,119,4.8,6.26,Aceitável
4,120,4.8,12.72,Aceitável
